age,month_income,employment_length,home_ownership,loan_intent,loan_amount,loan_interest_rate,previous_loans,previous_default,loan_grade,loan_status
21,11000,3,MORTGAGE,VENTURE,4575,17.74,3,YES,E,0
23,11000,0,OWN,PERSONAL,1400,9.32,3,NO,A,1
24,65000,6,RENT,HOME_IMPROVEMENT,32500,9.99,3,NO,B,0
21,11389,5,OTHER,EDUCATION,4000,12.84,2,YES,C,0
21,11520,5,OWN,MEDICAL,2000,11.12,3,NO,B,0
25,120000,2,RENT,VENTURE,32000,6.62,2,NO,A,1
26,95000,7,RENT,HOME_IMPROVEMENT,31050,14.17,3,YES,C,0
25,306000,2,RENT,DEBT_CONSOLIDATION,24250,13.85,3,NO,C,1
26,300000,10,MORTGAGE,MEDICAL,7800,13.49,4,NO,C,1
21,12000,5,OWN,EDUCATION,2500,7.51,4,NO,A,0
22,48000,1,RENT,EDUCATION,30000,18.39,2,NO,E,0
24,64000,8,RENT,DEBT_CONSOLIDATION,30000,14.54,3,YES,D,0
25,75000,4,RENT,HOME_IMPROVEMENT,30000,16.89,4,YES,D,0
23,71500,3,RENT,DEBT_CONSOLIDATION,30000,,4,NO,D,0
26,62050,6,RENT,MEDICAL,30000,17.99,2,NO,E,0
24,12000,4,OWN,VENTURE,2500,12.69,3,NO,B,0
26,300000,10,MORTGAGE,VENTURE,20000,7.88,4,NO,A,1
23,300000,1,OWN,EDUCATION,24250,19.41,2,YES,F,1
26,300000,9,OWN,HOME_IMPROVEMENT,10000,10.38,4,NO,B,1
26,300000,0,MORTGAGE,EDUCATION,25000,15.33,3,NO,D,1
25,300000,9,MORTGAGE,HOME_IMPROVEMENT,18000,16.45,3,NO,E,1
26,80690,8,RENT,PERSONAL,30000,7.49,3,NO,A,0
22,66300,4,RENT,MEDICAL,30000,12.69,3,NO,B,0
26,89028,0,RENT,DEBT_CONSOLIDATION,30000,6.62,3,NO,A,0
24,78000,4,RENT,DEBT_CONSOLIDATION,30000,,4,YES,D,0
23,78000,7,RENT,DEBT_CONSOLIDATION,30000,18.62,3,YES,F,0
23,92004,6,RENT,PERSONAL,30000,15.23,3,YES,C,0
23,97000,7,RENT,VENTURE,30000,10.65,2,NO,B,0
25,120000,9,RENT,EDUCATION,30000,7.9,4,NO,A,1
26,280000,4,RENT,PERSONAL,10000,15.96,3,YES,C,1
26,277104,0,RENT,VENTURE,20000,11.48,3,NO,B,1
23,277000,3,OWN,PERSONAL,35000,,4,NO,A,1
25,128000,9,RENT,PERSONAL,30000,7.29,4,NO,A,1
24,12000,2,OWN,VENTURE,1750,,3,YES,E,1
21,131000,0,RENT,VENTURE,30000,5.99,4,NO,A,1
22,275000,6,OWN,VENTURE,12000,11.58,2,NO,B,1
26,263000,0,MORTGAGE,EDUCATION,10000,,4,NO,B,0
25,221850,9,MORTGAGE,MEDICAL,25000,15.7,2,NO,D,0
22,70000,6,RENT,EDUCATION,29100,15.99,3,NO,D,0
22,12000,7,MORTGAGE,EDUCATION,1500,14.84,3,YES,D,1
26,260000,10,OWN,HOME_IMPROVEMENT,28000,10.99,3,NO,B,1
25,259000,9,MORTGAGE,HOME_IMPROVEMENT,20000,14.42,2,YES,D,1
24,255000,9,MORTGAGE,EDUCATION,9600,6.99,2,NO,A,1
25,250000,2,RENT,MEDICAL,25000,13.49,4,NO,C,1
25,12000,0,OWN,MEDICAL,3000,,3,NO,C,0
22,56950,6,RENT,MEDICAL,28000,,2,NO,A,0
21,12000,6,OWN,EDUCATION,3000,13.61,3,YES,C,0
23,65000,2,RENT,EDUCATION,28000,7.9,2,NO,A,0
26,85000,2,RENT,VENTURE,28000,7.49,3,NO,A,0
26,12000,2,OWN,EDUCATION,6100,7.51,3,NO,A,0
22,88000,6,RENT,VENTURE,28000,9.91,3,NO,B,0
21,12000,0,OWN,PERSONAL,4200,13.48,4,YES,C,0
22,12000,6,OWN,DEBT_CONSOLIDATION,4750,7.14,2,NO,A,0
24,83004,0,RENT,VENTURE,28000,15.99,4,YES,D,0
24,250000,2,RENT,EDUCATION,18000,12.98,3,YES,C,1
144,250000,4,RENT,VENTURE,4800,13.57,3,NO,C,1
25,100000,5,RENT,DEBT_CONSOLIDATION,28000,12.69,3,NO,B,1
26,110000,10,RENT,EDUCATION,28000,8.9,2,NO,A,1
26,12000,0,OWN,DEBT_CONSOLIDATION,2700,,4,NO,A,0
22,108000,6,RENT,EDUCATION,28000,,4,NO,B,0
23,151200,7,RENT,DEBT_CONSOLIDATION,28000,11.11,2,NO,B,1
24,69000,2,RENT,HOME_IMPROVEMENT,27600,,2,NO,A,0
21,12000,5,MORTGAGE,DEBT_CONSOLIDATION,3250,15.68,3,YES,E,0
22,70000,4,RENT,EDUCATION,27500,13.06,3,YES,C,0
22,240000,6,OWN,PERSONAL,25000,,2,NO,B,1
26,73200,5,RENT,VENTURE,27050,15.62,2,YES,D,0
24,83000,5,RENT,PERSONAL,27000,13.49,2,YES,C,0
24,73399,0,RENT,VENTURE,27000,,3,NO,D,0
23,62500,7,RENT,MEDICAL,26000,11.71,2,NO,B,0
23,120000,1,RENT,EDUCATION,25600,12.69,3,NO,B,1
24,12360,2,OWN,MEDICAL,1600,13.57,3,NO,C,1
22,60000,0,RENT,VENTURE,25475,10.99,3,NO,B,0
25,234000,3,MORTGAGE,MEDICAL,20000,14.27,4,YES,C,1
24,234000,8,OWN,HOME_IMPROVEMENT,20000,8.88,4,NO,B,1
26,234000,10,MORTGAGE,HOME_IMPROVEMENT,21600,12.18,3,NO,B,1
25,221004,6,MORTGAGE,DEBT_CONSOLIDATION,11900,14.42,3,YES,D,0
26,232500,0,MORTGAGE,MEDICAL,25000,14.17,2,YES,C,1
25,230000,5,MORTGAGE,MEDICAL,35000,13.99,4,NO,C,1
23,83000,7,RENT,EDUCATION,25300,10.99,3,NO,B,0
22,12600,,MORTGAGE,PERSONAL,2000,5.42,4,NO,A,0
25,12600,3,OWN,PERSONAL,1750,13.61,3,NO,C,1
21,42500,3,RENT,EDUCATION,25000,12.73,3,YES,C,0
24,41000,2,RENT,HOME_IMPROVEMENT,25000,,3,NO,D,0
25,12816,0,OWN,DEBT_CONSOLIDATION,3000,12.87,4,YES,C,0
24,12960,1,MORTGAGE,HOME_IMPROVEMENT,3650,9.91,3,NO,B,0
26,226000,4,MORTGAGE,HOME_IMPROVEMENT,20000,11.49,4,NO,B,1
25,225000,0,MORTGAGE,HOME_IMPROVEMENT,30000,19.91,2,YES,E,1
26,213000,6,MORTGAGE,EDUCATION,35000,10.65,2,NO,B,0
24,225000,0,RENT,MEDICAL,6000,,4,NO,B,1
24,12960,0,MORTGAGE,DEBT_CONSOLIDATION,4500,11.83,4,NO,B,0
23,12996,0,OWN,DEBT_CONSOLIDATION,2400,13.49,2,YES,C,0
22,42000,6,RENT,MEDICAL,25000,14.59,2,YES,D,0
26,48000,2,RENT,EDUCATION,25000,9.64,4,NO,B,0
25,12996,1,OWN,MEDICAL,3600,14.59,3,NO,D,0
22,12996,1,OWN,EDUCATION,4750,,3,NO,B,0
25,42360,1,RENT,EDUCATION,25000,16.35,3,YES,E,0
21,49000,4,RENT,EDUCATION,25000,10.99,2,NO,B,0
25,225000,0,MORTGAGE,VENTURE,25000,18.67,2,NO,F,1
26,225000,1,RENT,EDUCATION,3000,9.32,4,NO,A,1
23,225000,8,RENT,DEBT_CONSOLIDATION,7500,8.63,2,NO,A,1
26,225000,2,MORTGAGE,VENTURE,25000,10.08,2,NO,B,1
22,49464,5,RENT,PERSONAL,25000,11.83,3,NO,B,0
23,50000,1,RENT,DEBT_CONSOLIDATION,25000,7.9,3,NO,A,0
25,50000,4,RENT,HOME_IMPROVEMENT,25000,5.99,2,NO,A,0
24,44000,2,RENT,DEBT_CONSOLIDATION,25000,15.33,2,NO,D,0
23,50000,1,RENT,VENTURE,25000,11.83,4,NO,B,0
22,50004,0,RENT,VENTURE,25000,10.36,2,NO,B,0
22,50004,3,RENT,VENTURE,25000,12.23,3,NO,C,0
22,52000,2,RENT,EDUCATION,25000,11.11,4,NO,B,0
23,13200,3,OWN,DEBT_CONSOLIDATION,4950,7.9,4,NO,A,0
24,220000,1,MORTGAGE,EDUCATION,25000,11.58,2,NO,B,1
23,216000,5,MORTGAGE,DEBT_CONSOLIDATION,21000,8.9,3,NO,A,1
25,216000,2,MORTGAGE,EDUCATION,25000,16.07,3,NO,D,1
26,216000,10,MORTGAGE,EDUCATION,20000,14.22,2,YES,C,1
23,215000,7,MORTGAGE,MEDICAL,35000,14.79,3,YES,C,1
26,215000,11,MORTGAGE,EDUCATION,12000,7.88,2,NO,A,1
23,52000,1,RENT,PERSONAL,25000,13.22,2,NO,C,0
26,46000,2,RENT,DEBT_CONSOLIDATION,25000,11.86,4,NO,D,0
22,53000,5,RENT,EDUCATION,25000,13.43,4,YES,C,0
26,47000,0,RENT,HOME_IMPROVEMENT,25000,15.28,2,YES,D,0
23,47000,1,RENT,VENTURE,25000,17.93,2,NO,E,0
23,13200,2,MORTGAGE,EDUCATION,1400,9.25,4,NO,B,1
21,13200,0,OWN,VENTURE,4500,12.98,4,NO,C,0
22,210000,6,MORTGAGE,VENTURE,16000,10.62,4,NO,B,1
26,210000,10,OWN,PERSONAL,22000,11.83,4,NO,B,1
26,48000,5,RENT,VENTURE,25000,18.43,2,NO,F,0
22,54996,6,RENT,EDUCATION,25000,,4,NO,B,0
24,55000,4,RENT,HOME_IMPROVEMENT,25000,,4,YES,D,0
23,55000,4,RENT,EDUCATION,25000,11.36,3,NO,B,0
23,55000,4,RENT,EDUCATION,25000,15.65,3,YES,D,0
24,55164,8,RENT,PERSONAL,25000,13.22,4,YES,C,0
26,56000,4,RENT,DEBT_CONSOLIDATION,25000,12.87,2,NO,C,0
24,203500,8,OWN,MEDICAL,20000,13.04,3,NO,C,1
23,190000,5,MORTGAGE,EDUCATION,22000,17.58,3,YES,F,0
23,13920,2,OWN,PERSONAL,7750,17.04,4,NO,E,0
24,60000,0,RENT,PERSONAL,25000,10.99,3,NO,B,0
24,60000,2,RENT,PERSONAL,25000,11.11,3,NO,B,0
26,54000,7,RENT,DEBT_CONSOLIDATION,25000,14.83,2,YES,D,0
23,14000,2,OWN,DEBT_CONSOLIDATION,4000,,3,NO,D,0
24,200000,8,RENT,MEDICAL,12000,12.69,2,NO,B,1
24,200000,8,MORTGAGE,HOME_IMPROVEMENT,12000,13.49,2,NO,C,1
21,200000,5,MORTGAGE,EDUCATION,16000,14.65,4,NO,C,1
25,54000,3,RENT,HOME_IMPROVEMENT,25000,16.82,4,NO,E,0
23,60000,3,RENT,PERSONAL,25000,12.73,3,NO,C,0
23,60000,7,RENT,PERSONAL,25000,10.25,4,NO,B,0
21,60000,6,RENT,EDUCATION,25000,10.99,4,NO,B,0
25,61959,9,RENT,MEDICAL,25000,12.73,2,NO,C,0
22,56400,2,RENT,HOME_IMPROVEMENT,25000,14.96,3,YES,D,0
23,200000,7,MORTGAGE,EDUCATION,28000,,2,NO,A,1
21,200000,2,MORTGAGE,DEBT_CONSOLIDATION,25000,13.99,2,NO,C,1
24,200000,3,MORTGAGE,VENTURE,24000,7.49,4,NO,A,1
26,200000,4,MORTGAGE,EDUCATION,15000,14.79,3,NO,C,1
25,200000,2,MORTGAGE,DEBT_CONSOLIDATION,15500,11.99,2,NO,B,1
24,200000,8,RENT,EDUCATION,10000,8.49,4,NO,A,1
24,66000,3,RENT,EDUCATION,25000,9.91,2,NO,B,0
22,66000,6,RENT,EDUCATION,25000,13.06,3,YES,C,0
22,200000,6,MORTGAGE,DEBT_CONSOLIDATION,9000,6.17,4,NO,A,1
144,200000,4,MORTGAGE,EDUCATION,6000,11.86,2,NO,B,1
25,200000,5,RENT,EDUCATION,18000,16.32,3,NO,D,1
25,200000,2,MORTGAGE,VENTURE,12000,10.38,2,NO,B,1
25,200000,9,MORTGAGE,PERSONAL,23050,14.35,3,NO,C,1
24,200000,8,MORTGAGE,DEBT_CONSOLIDATION,20000,,3,NO,B,1
24,60000,2,RENT,DEBT_CONSOLIDATION,25000,,2,YES,E,0
21,14400,0,OWN,HOME_IMPROVEMENT,3000,,4,NO,B,0
26,66996,10,RENT,PERSONAL,25000,15.21,2,YES,D,0
23,67000,3,RENT,EDUCATION,25000,7.9,4,NO,A,0
24,67000,2,RENT,VENTURE,25000,10.99,3,NO,B,0
24,68000,5,RENT,PERSONAL,25000,14.09,3,YES,D,0
25,69000,9,RENT,PERSONAL,25000,17.49,2,NO,D,0
25,200000,0,MORTGAGE,EDUCATION,12000,11.48,3,NO,B,1
26,188000,10,MORTGAGE,VENTURE,20000,17.74,2,NO,E,0
26,200000,4,MORTGAGE,PERSONAL,3000,13.92,3,NO,C,1
25,69996,9,RENT,EDUCATION,25000,15.21,3,NO,D,0
22,14400,2,OWN,MEDICAL,4000,10.99,3,NO,B,0
24,70000,3,RENT,EDUCATION,25000,11.86,4,NO,B,0
24,14400,5,OWN,PERSONAL,6000,7.49,3,NO,A,0
24,56100,7,RENT,MEDICAL,25000,16.49,4,NO,D,0
25,66000,9,RENT,VENTURE,25000,15.33,2,YES,D,0
26,66000,3,RENT,HOME_IMPROVEMENT,25000,11.58,4,NO,B,0
25,14400,7,OWN,EDUCATION,5375,5.79,2,NO,A,0
25,72612,9,RENT,MEDICAL,25000,13.11,2,NO,C,0
23,74000,3,RENT,MEDICAL,25000,10.36,3,NO,B,0
25,75000,9,RENT,DEBT_CONSOLIDATION,25000,10.36,2,NO,B,0
24,192000,0,RENT,MEDICAL,22000,,2,YES,C,1
21,192000,123,MORTGAGE,VENTURE,20000,6.54,4,NO,A,1
25,191000,1,MORTGAGE,MEDICAL,10000,12.53,4,NO,B,1
26,190300,5,MORTGAGE,PERSONAL,15000,,3,NO,A,1
22,190000,3,MORTGAGE,VENTURE,10000,,3,NO,C,1
24,75000,4,RENT,EDUCATION,25000,10.25,4,NO,B,0
22,71000,1,RENT,EDUCATION,25000,15.95,4,YES,D,0
26,190000,3,MORTGAGE,VENTURE,20000,12.18,4,NO,B,1
23,189996,0,OWN,PERSONAL,24000,11.83,3,NO,B,1
23,78000,7,RENT,DEBT_CONSOLIDATION,25000,,2,YES,C,0
23,78000,1,RENT,VENTURE,25000,10.62,3,NO,B,0
23,78504,7,RENT,VENTURE,25000,10.74,3,NO,B,0
25,186000,9,OWN,VENTURE,10000,10.25,4,NO,B,1
24,185000,,MORTGAGE,EDUCATION,35000,12.42,2,NO,B,1
25,185000,6,RENT,VENTURE,15000,15.27,2,NO,C,1
24,62050,8,RENT,MEDICAL,25000,15.33,2,YES,D,0
23,79416,7,RENT,VENTURE,25000,15.21,2,YES,D,0
21,14400,4,OWN,VENTURE,6250,14.72,2,NO,C,0
24,79631,8,RENT,PERSONAL,25000,15.7,2,YES,D,0
24,79632,0,RENT,EDUCATION,25000,13.35,4,NO,C,0
21,14400,0,MORTGAGE,MEDICAL,1500,,4,NO,C,1
24,80000,6,RENT,EDUCATION,25000,6.62,2,NO,A,0
26,80000,5,RENT,DEBT_CONSOLIDATION,25000,13.61,4,NO,C,0
22,185000,4,RENT,MEDICAL,25000,11.36,2,NO,B,1
26,185000,10,OWN,PERSONAL,5000,7.68,2,NO,A,1
24,184992,7,RENT,HOME_IMPROVEMENT,22000,14.46,4,YES,D,1
23,184000,5,OWN,EDUCATION,2500,11.83,2,NO,B,1
24,172000,6,MORTGAGE,DEBT_CONSOLIDATION,20000,13.47,4,YES,C,0
24,183000,2,MORTGAGE,MEDICAL,20000,11.49,3,NO,B,1
22,183000,3,MORTGAGE,EDUCATION,1000,,2,NO,A,1
25,182952,9,MORTGAGE,PERSONAL,15000,6.03,3,NO,A,1
23,74004,7,RENT,DEBT_CONSOLIDATION,25000,16.35,4,NO,E,0
26,74004,10,RENT,DEBT_CONSOLIDATION,25000,,4,YES,D,0
25,81000,5,RENT,DEBT_CONSOLIDATION,25000,7.29,3,NO,A,0
23,81600,1,RENT,MEDICAL,25000,11.36,3,NO,B,0
24,82000,8,RENT,VENTURE,25000,10.25,2,NO,B,1
24,83000,5,RENT,EDUCATION,25000,11.12,3,NO,B,1
24,83000,5,RENT,PERSONAL,25000,12.92,3,YES,D,1
24,180000,8,RENT,EDUCATION,18000,18.64,4,YES,E,1
23,180000,8,MORTGAGE,PERSONAL,28000,7.51,3,NO,A,1
23,14400,2,OWN,HOME_IMPROVEMENT,4000,16.7,2,NO,E,0
22,14400,0,OWN,PERSONAL,2100,11.14,4,NO,B,1
22,84500,6,RENT,PERSONAL,25000,18.3,4,NO,F,1
24,85000,5,RENT,MEDICAL,25000,10.62,4,NO,B,1
24,180000,7,MORTGAGE,VENTURE,14000,11.99,2,NO,B,1
26,180000,2,MORTGAGE,VENTURE,12000,9.63,4,NO,B,1
25,142800,9,MORTGAGE,MEDICAL,10000,18.25,4,NO,F,0
23,14664,0,MORTGAGE,DEBT_CONSOLIDATION,6000,,4,NO,C,0
24,87000,8,RENT,HOME_IMPROVEMENT,25000,14.84,3,NO,D,1
24,75000,0,RENT,VENTURE,25000,14.7,3,YES,E,0
23,76000,7,RENT,DEBT_CONSOLIDATION,25000,16.02,4,NO,D,0
23,66215,1,RENT,MEDICAL,25000,15.37,2,YES,D,0
25,90000,9,RENT,MEDICAL,25000,10.99,4,NO,B,1
21,15000,0,OWN,HOME_IMPROVEMENT,6200,7.9,2,NO,A,0
26,180000,2,OWN,PERSONAL,25000,10.99,4,NO,B,1
24,180000,8,OWN,EDUCATION,21000,11.48,3,NO,B,1
25,180000,9,OWN,MEDICAL,20000,14.26,4,YES,C,1
26,180000,0,OWN,HOME_IMPROVEMENT,10000,8.0,4,NO,A,1
25,180000,3,MORTGAGE,VENTURE,9950,11.26,2,NO,B,1
23,15000,7,OWN,MEDICAL,4475,,4,NO,B,0
23,78000,2,RENT,VENTURE,25000,16.32,3,YES,D,0
25,66300,3,RENT,MEDICAL,25000,17.93,4,YES,E,0
23,90000,0,RENT,DEBT_CONSOLIDATION,25000,11.36,3,NO,B,1
24,79000,9,RENT,DEBT_CONSOLIDATION,25000,14.96,4,YES,D,0
24,91800,4,RENT,PERSONAL,25000,13.43,3,YES,C,1
25,92000,6,RENT,HOME_IMPROVEMENT,25000,12.69,3,NO,B,1
24,92000,1,RENT,VENTURE,25000,12.73,4,YES,C,1
23,93600,3,RENT,VENTURE,25000,15.21,4,NO,D,1
23,15000,1,MORTGAGE,MEDICAL,1750,12.68,3,YES,C,1
23,70550,3,RENT,MEDICAL,25000,19.04,4,YES,F,0
25,83800,2,RENT,DEBT_CONSOLIDATION,25000,15.95,3,YES,D,0
26,175000,3,MORTGAGE,VENTURE,2600,8.9,4,NO,A,1
25,175000,10,MORTGAGE,HOME_IMPROVEMENT,8000,7.9,2,NO,A,1
22,175000,6,MORTGAGE,EDUCATION,18000,,2,NO,B,1
23,175000,8,MORTGAGE,PERSONAL,21000,11.99,3,NO,B,1
23,15000,4,OWN,DEBT_CONSOLIDATION,4000,13.98,4,NO,C,0
23,15000,4,OWN,VENTURE,4600,10.99,2,NO,B,0
22,88000,6,RENT,DEBT_CONSOLIDATION,25000,15.58,2,YES,D,0
25,74800,2,RENT,MEDICAL,25000,10.99,2,NO,B,0
25,88000,0,RENT,VENTURE,25000,14.96,4,NO,D,0
25,15000,2,OWN,HOME_IMPROVEMENT,1750,15.31,4,YES,D,1
26,88000,2,RENT,VENTURE,25000,15.65,3,NO,D,0
25,100000,1,RENT,VENTURE,25000,9.33,4,NO,B,1
23,15000,0,MORTGAGE,PERSONAL,3600,13.47,4,NO,C,0
24,102400,8,RENT,PERSONAL,25000,10.36,3,NO,B,1
24,92000,1,RENT,HOME_IMPROVEMENT,25000,16.77,4,YES,E,0
23,93000,0,RENT,DEBT_CONSOLIDATION,25000,14.59,2,YES,D,0
22,175000,6,RENT,VENTURE,3500,11.91,2,YES,C,1
23,175000,3,MORTGAGE,EDUCATION,7200,8.38,3,NO,A,1
25,174708,9,RENT,VENTURE,9000,10.59,3,NO,B,1
25,174000,2,MORTGAGE,DEBT_CONSOLIDATION,8800,14.27,3,NO,C,1
26,174000,8,RENT,DEBT_CONSOLIDATION,12000,12.53,4,NO,B,1
25,162000,5,MORTGAGE,DEBT_CONSOLIDATION,25000,16.0,3,YES,E,0
26,173467,10,MORTGAGE,VENTURE,10000,11.71,4,NO,B,1
21,15000,0,OWN,HOME_IMPROVEMENT,3175,11.54,3,YES,C,0
25,96000,2,RENT,HOME_IMPROVEMENT,25000,15.68,4,YES,E,0
21,15120,0,MORTGAGE,EDUCATION,1500,10.59,2,NO,B,1
24,97908,8,RENT,HOME_IMPROVEMENT,25000,12.61,2,YES,D,0
26,110000,3,RENT,PERSONAL,25000,,2,YES,C,1
23,15204,7,MORTGAGE,PERSONAL,2800,8.49,3,NO,A,0
25,159600,0,RENT,PERSONAL,30000,17.27,4,YES,D,0
24,171500,6,RENT,DEBT_CONSOLIDATION,18000,8.9,4,NO,A,1
25,170004,3,MORTGAGE,MEDICAL,10000,11.11,4,NO,B,1
24,158004,0,RENT,HOME_IMPROVEMENT,25000,14.59,2,YES,D,0
26,170000,0,RENT,VENTURE,13000,12.42,3,NO,B,1
24,83300,0,RENT,MEDICAL,25000,,2,NO,D,0
24,110000,7,RENT,HOME_IMPROVEMENT,25000,15.7,2,YES,D,1
22,15360,7,OWN,HOME_IMPROVEMENT,2500,12.53,3,NO,B,0
25,134300,3,RENT,MEDICAL,5000,16.49,2,NO,D,0
25,170000,2,MORTGAGE,EDUCATION,20000,7.49,2,NO,A,1
22,100580,6,RENT,DEBT_CONSOLIDATION,25000,14.96,2,YES,D,0
25,113000,7,RENT,MEDICAL,25000,12.73,4,YES,C,1
24,120000,8,RENT,EDUCATION,25000,10.65,4,NO,B,1
25,120000,6,RENT,MEDICAL,25000,10.74,2,NO,B,1
23,120000,7,RENT,EDUCATION,25000,9.99,2,NO,B,1
24,91800,5,RENT,MEDICAL,25000,15.33,2,YES,D,0
21,15600,5,OWN,VENTURE,1000,7.29,4,NO,A,1
26,108000,2,RENT,PERSONAL,25000,15.05,3,NO,D,0
26,129996,6,RENT,PERSONAL,25000,10.75,3,NO,B,1
23,130000,4,RENT,EDUCATION,25000,16.02,2,YES,D,1
23,130000,7,RENT,VENTURE,25000,11.49,4,NO,B,1
25,170000,4,OWN,EDUCATION,20000,12.53,4,NO,B,1
26,170000,0,MORTGAGE,VENTURE,12000,13.57,2,YES,C,1
22,169000,1,RENT,PERSONAL,14000,11.14,3,NO,B,1
26,168750,10,RENT,MEDICAL,24250,12.87,3,YES,C,1
23,168600,3,RENT,EDUCATION,20000,11.58,3,NO,B,1
24,168288,5,RENT,HOME_IMPROVEMENT,1800,11.12,3,NO,B,1
25,168000,2,MORTGAGE,PERSONAL,35000,10.65,2,NO,B,1
24,133300,6,RENT,DEBT_CONSOLIDATION,25000,10.37,2,NO,B,1
24,15600,5,OWN,HOME_IMPROVEMENT,3300,6.39,4,NO,A,0
24,134000,8,RENT,PERSONAL,25000,16.07,3,YES,D,1
25,134000,7,RENT,MEDICAL,25000,10.62,2,NO,B,1
25,15600,0,OWN,VENTURE,3200,18.09,2,NO,F,0
25,135000,5,RENT,EDUCATION,25000,11.36,4,NO,B,1
26,135660,10,RENT,DEBT_CONSOLIDATION,25000,12.53,4,NO,B,1
25,145000,0,RENT,EDUCATION,25000,9.99,4,NO,B,1
23,150000,4,RENT,EDUCATION,25000,10.36,3,NO,B,1
23,165000,3,MORTGAGE,EDUCATION,9600,5.99,3,NO,A,1
22,153000,5,MORTGAGE,DEBT_CONSOLIDATION,24000,15.62,2,YES,D,0
24,165000,5,MORTGAGE,PERSONAL,20000,10.37,4,NO,B,1
25,165000,0,MORTGAGE,HOME_IMPROVEMENT,25000,19.74,4,NO,F,1
21,165000,5,MORTGAGE,EDUCATION,20000,6.91,4,NO,A,1
23,16000,7,OWN,MEDICAL,6000,7.9,2,NO,A,0
23,16000,3,MORTGAGE,DEBT_CONSOLIDATION,2275,13.06,4,YES,C,1
23,16000,7,OWN,PERSONAL,2000,6.39,3,NO,A,1
23,148000,1,RENT,DEBT_CONSOLIDATION,25000,14.93,3,NO,E,0
23,16000,1,MORTGAGE,MEDICAL,5600,12.84,4,NO,C,0
24,16020,3,OWN,VENTURE,3625,17.14,2,YES,E,0
22,16094,2,MORTGAGE,VENTURE,5500,7.14,3,NO,A,0
25,175000,2,RENT,PERSONAL,25000,8.9,2,NO,A,1
22,16200,6,OWN,PERSONAL,2000,12.42,3,NO,B,1
24,185000,7,RENT,HOME_IMPROVEMENT,25000,12.68,2,YES,C,1
25,162000,9,RENT,PERSONAL,25000,11.03,2,NO,C,1
26,161000,10,RENT,VENTURE,30000,7.9,4,NO,A,1
22,160000,0,MORTGAGE,MEDICAL,35000,10.65,4,NO,B,1
25,225000,5,RENT,VENTURE,25000,11.86,4,NO,B,1
25,16400,1,OWN,PERSONAL,5000,8.94,4,NO,A,0
23,16500,6,OWN,VENTURE,4375,9.63,4,NO,B,0
25,49500,6,RENT,PERSONAL,24750,14.22,3,NO,C,0
23,60000,4,RENT,DEBT_CONSOLIDATION,24750,9.33,3,NO,B,0
24,84200,8,RENT,MEDICAL,24500,13.85,4,NO,C,1
22,16800,5,MORTGAGE,EDUCATION,2000,10.65,2,NO,B,1
24,92000,8,RENT,MEDICAL,24500,11.46,4,NO,B,1
23,160000,5,MORTGAGE,PERSONAL,35000,7.66,2,NO,A,1
24,160000,9,MORTGAGE,VENTURE,12000,16.77,4,NO,E,1
25,160000,1,MORTGAGE,PERSONAL,12000,9.63,4,NO,B,1
26,160000,6,RENT,PERSONAL,25000,12.23,4,YES,C,1
25,125800,0,MORTGAGE,MEDICAL,10000,14.09,4,NO,D,0
25,54000,2,RENT,PERSONAL,24250,13.98,4,NO,C,0
23,62500,1,RENT,EDUCATION,24250,10.62,4,NO,B,0
